"str_typ","Convenience store with or without gas","Drug store or pharmacy","Beer, wine, liquor store","Mass merchandiser","Grocery store","Other store type not listed","Tobacco Hookah ECig","str_token"
"Mass merchandiser",0.00546855232307606,0,0.0157892774764434,0.0283685926419697,0.0365965482446934,0.00206367629260808,0.0110376664521503,"winn dixie"
"Mass merchandiser",0.00546855232307606,0,0.0157892774764434,0.0283685926419697,0.0365965482446934,0.00206367629260808,0.0110376664521503,"winn dixie"
"Grocery store",0.00804285269542187,0.0103597400045122,0.0133014649009716,0.0307160276026115,0.043361160951999,0.0055899451607151,0.0109337472615506,"winn dixie"
"Grocery store",0.00804285269542187,0.0103597400045122,0.0133014649009716,0.0307160276026115,0.043361160951999,0.0055899451607151,0.0109337472615506,"winn dixie"
"Grocery store",0.00804285269542187,0.0103597400045122,0.0133014649009716,0.0307160276026115,0.043361160951999,0.0055899451607151,0.0109337472615506,"winn dixie"
"Tobacco Hookah ECig",0.00444359191150822,0.00445229655951955,0.0233834390266819,0.0141842963209849,0.0245510293083156,0.00407154061368353,0.0140973523036952,"winn dixie"
"Convenience store with or without gas",0.0228596443306286,0.0179232069734019,0,0.0366235630254447,0.00702483640180331,0.00703295642968245,0,"winn dixie"
"Convenience store with or without gas",0.0228596443306286,0.0179232069734019,0,0.0366235630254447,0.00702483640180331,0.00703295642968245,0,"winn dixie"
