,retail_name,retail_state,snap,wic,alcohol,pharmacy,any_tob_sld,str_typ,year,can_surveyD,storelistmatch,c_any_str_typ,c_any_tob_sld,retail_st_geo,str_typ1,Convenience store with or without gas,Drug store or pharmacy ,"Beer, wine, liquor store",Mass merchandiser,Grocery store ,Other store type not listed,Tobacco Hookah ECig
13181,lynch drivethru,OH,,,,0.0,,"Beer, wine, liquor store",2016.0,1.0,0,1,,Ohio,"Beer,",0.002480944289514773,0.0,0.016889388761894764,0.0,0.0,0.003082497511010865,0.0
13182,marathon,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.028050375015635086,0.0,0.01205462597221063,0.0,0.0,0.0,0.0
13183,rite aid,OH,,,,1.0,,Drug store or pharmacy ,2016.0,1.0,1,1,,Ohio,Drug,0.006005637825970565,0.1343424414287929,0.0,0.0,0.009236815672180244,0.0,0.0
13184,speedway,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,0,1,,Ohio,Convenience,0.03732065074158021,0.0,0.0,0.0,0.0,0.0,0.0
13185,speedway ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,0,1,,Ohio,Convenience,0.03732065074158021,0.0,0.0,0.0,0.0,0.0,0.0
13186,udf,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.01616664218766905,0.0,0.0,0.0,0.0,0.0,0.0
13187,walmart,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.009333305694972073,0.0,0.007836377482272248,0.10758367749654936,0.03219847068722135,0.011907830349917778,0.0
13188,walgreens ,OH,,,,1.0,,Drug store or pharmacy ,2016.0,1.0,0,1,,Ohio,Drug,0.011359716211259703,0.12948725601933744,0.0132681404399127,0.05374033212035571,0.016763327493412982,0.0,0.0
13189,ameristop ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.010489808747217928,0.0,0.0,0.0,0.0,0.0,0.0
13190,associated vending inc,OH,,,,0.0,,Other store type not listed,2016.0,0.0,0,1,,Ohio,Other,0.004381315101145846,0.00926941233934274,0.005351987166339761,0.008521340989999016,0.005174774715196196,0.020624961181514745,0.0064985322694455505
13191,bv beverage,OH,,,,0.0,,"Beer, wine, liquor store",2016.0,0.0,1,1,,Ohio,"Beer,",0.005537047176559347,0.0,0.022223284006917143,0.005120731800145631,0.005378817766549298,0.006354970504037151,0.003373387386685379
13192,biggs remke,OH,,,,0.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.0,0.0,0.0,0.0,0.013018219211124967,0.0,0.0
13193,camargo marathon llc,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.011611403273400989,0.006053447610680762,0.006111359747641441,0.005894072182583616,0.004536160683357534,0.003975489750787442,0.0073385521084879226
13194,dairy mart,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.02285192549829283,0.018049988091518688,0.007652880045808331,0.021508737206509046,0.00913845486247073,0.006978643515396731,0.006245466398371704
