ID,lat,long
1,36.022694,-78.91793
2,36.023487,-78.918724
3,36.022655,-78.91786
4,36.022655,-78.91786
5,36.022717,-78.91794
6,36.02169,-78.916664
7,36.02169,-78.916664
8,36.028286,-78.91788
9,36.028286,-78.919464
10,36.029987,-78.92197
11,36.016888,-78.911995
12,36.016888,-78.911995
13,36.01689,-78.911
14,36.01692,-78.90899
15,36.01692,-78.90899
16,36.01692,-78.90899
17,36.02951,-78.92654
18,36.02951,-78.92654
19,36.029076,-78.928116
20,36.02961,-78.92666
21,36.02961,-78.92666
22,36.029587,-78.92665
23,36.029587,-78.92665
24,36.030754,-78.92806
25,36.010075,-78.91959
26,36.010525,-78.92814
27,36.014973,-78.93416
28,36.035683,-78.92934
29,36.005398,-78.92331
30,36.03373,-78.93567
31,36.037937,-78.92954
32,36.037937,-78.92954
33,36.00835,-78.9002
34,36.018776,-78.94498
35,36.005478,-78.90143
36,36.004627,-78.90254
37,36.004627,-78.90254
38,36.018963,-78.94545
39,36.018963,-78.94545
40,36.01877,-78.94499
41,36.017803,-78.890015
42,36.017803,-78.890015
43,36.017803,-78.890015
44,36.036892,-78.895744
45,36.01782,-78.89
46,36.0038,-78.89841
47,35.998985,-78.90752
48,36.01691,-78.889496
49,35.999588,-78.906494
50,36.030727,-78.89057
51,35.996788,-78.91598
52,36.013596,-78.94818
53,36.013596,-78.94818
54,36.016003,-78.88882
55,36.016003,-78.88882
56,36.019714,-78.887146
57,36.035828,-78.89373
58,36.015175,-78.8882
59,36.01877,-78.94499
60,36.017803,-78.890015
61,36.017803,-78.890015
62,36.017803,-78.890015
63,36.0187,-78.88999
64,36.036892,-78.895744
65,36.01782,-78.89
66,36.01782,-78.89
67,36.01782,-78.89
68,36.0038,-78.89841
69,35.998985,-78.90752
70,36.0306,-78.89056
71,36.0306,-78.89056
72,36.01691,-78.889496
73,35.999588,-78.906494
74,36.041542,-78.900116
75,36.030727,-78.89057
76,35.996788,-78.91598
77,36.013596,-78.94818
78,36.013596,-78.94818
79,36.013596,-78.94818
80,36.016003,-78.88882
81,36.016003,-78.88882
82,36.016003,-78.88882
83,36.021324,-78.950966
84,36.021324,-78.950966
85,36.019714,-78.887146
86,35.99697,-78.91031
87,36.035828,-78.89373
88,36.006725,-78.94713
89,36.015175,-78.8882
90,36.022285,-78.95318
91,36.022285,-78.95318
92,36.022285,-78.95318
93,35.99696,-78.90432
94,36.049526,-78.9058
95,36.0225,-78.953674
96,36.00341,-78.89295
97,36.00341,-78.89295
98,36.03626,-78.888275
99,35.992012,-78.92157
100,36.05022,-78.90571
101,36.05022,-78.90571
102,36.05022,-78.90571
103,36.05133,-78.90532
104,36.05133,-78.90532
105,36.007088,-78.88666
106,35.992107,-78.905
107,36.005795,-78.885216
108,36.051884,-78.903595
109,35.990078,-78.9031
110,35.98886,-78.92504
111,36.054253,-78.90322
112,36.054253,-78.90322
113,36.054253,-78.90322
114,36.05425,-78.90321
115,36.013184,-78.824615
116,36.021904,-78.81067
117,36.021904,-78.81067
118,36.021904,-78.81067
119,36.029564,-78.839836
120,36.036842,-78.82291
121,36.029564,-78.839836
122,36.03152,-78.84111
123,36.025608,-78.850174
124,36.025608,-78.850174
125,35.981754,-78.822365
126,35.98134,-78.82064
127,35.98134,-78.82064
128,36.005104,-78.86658
129,35.976963,-78.795166
130,35.976505,-78.79326
131,35.976574,-78.79279
132,35.976574,-78.79279
133,35.99488,-78.86521
134,35.97363,-78.79569
135,36.02684,-78.87095
136,35.99235,-78.86884
137,35.99251,-78.869
138,35.99251,-78.869
139,35.99251,-78.869
140,35.994064,-78.87051
141,36.03927,-78.87433
142,36.037766,-78.874794
143,36.037766,-78.874794
144,35.998875,-78.880615
145,35.965508,-78.84679
146,35.965508,-78.84679
147,35.96591,-78.84482
148,36.003647,-78.87954
149,36.015175,-78.8882
150,36.007088,-78.88666
151,36.005795,-78.885216
152,35.982056,-78.87505
153,35.97389,-78.868
154,36.019714,-78.887146
155,36.016003,-78.88882
156,36.016003,-78.88882
157,35.981625,-78.8766
158,36.01691,-78.889496
159,35.982586,-78.879364
160,36.01782,-78.89
161,36.017803,-78.890015
162,36.017803,-78.890015
163,36.017803,-78.890015
164,36.016003,-78.88882
165,36.016003,-78.88882
166,36.016003,-78.88882
167,35.981625,-78.8766
168,36.01691,-78.889496
169,35.982586,-78.879364
170,35.998264,-78.885864
171,36.01782,-78.89
172,36.01782,-78.89
173,36.01782,-78.89
174,36.0187,-78.88999
175,36.017803,-78.890015
176,36.017803,-78.890015
177,36.017803,-78.890015
178,35.992672,-78.886024
179,35.992672,-78.886024
180,35.95562,-78.841095
181,35.95562,-78.841095
182,36.03626,-78.888275
